home_team,away_team,bet,country,date,is_correct,season,coef,chance,value
FK Krasnodar 2,Torpedo Moscow,3,russia fnl,2021-10-13 12:00:00,False,2021-2022,3.11,0.29840253106427483,0.9280318716098946
FK Krasnodar 2,Torpedo Moscow,0,russia fnl,2021-10-13 12:00:00,False,2021-2022,2.3,0.3933934645259523,0.9048049684096903
FK Krasnodar 2,Torpedo Moscow,1,russia fnl,2021-10-13 12:00:00,True,2021-2022,3.12,0.30820400440977286,0.9615964937584913
FK Orenburg,Tekstilshchik Ivanovo,3,russia fnl,2021-10-13 13:00:00,True,2021-2022,1.2,0.6935383324251809,0.8322459989102171
FK Orenburg,Tekstilshchik Ivanovo,0,russia fnl,2021-10-13 13:00:00,False,2021-2022,13.1,0.1152262139449203,1.509463402678456
FK Orenburg,Tekstilshchik Ivanovo,1,russia fnl,2021-10-13 13:00:00,False,2021-2022,6.24,0.19123545362989872,1.193309230650568
Fakel Voronezh,SKA Khabarovsk,3,russia fnl,2021-10-13 14:00:00,False,2021-2022,1.58,0.5706264048223637,0.9015897196193347
Fakel Voronezh,SKA Khabarovsk,0,russia fnl,2021-10-13 14:00:00,True,2021-2022,5.59,0.16506242972450008,0.9226989821599554
Fakel Voronezh,SKA Khabarovsk,1,russia fnl,2021-10-13 14:00:00,False,2021-2022,3.79,0.26431116545313627,1.0017393170673865
Metallurg Lipetsk,Veles Moscow,3,russia fnl,2021-10-13 14:30:00,True,2021-2022,5.97,0.21906449276810913,1.3078150218256115
Metallurg Lipetsk,Veles Moscow,0,russia fnl,2021-10-13 14:30:00,False,2021-2022,1.52,0.5486733327382468,0.8339834657621351
Metallurg Lipetsk,Veles Moscow,1,russia fnl,2021-10-13 14:30:00,False,2021-2022,3.98,0.23226217449364403,0.9244034544847033
CD Ebro,CD Izarra,3,spain copa-federacion,2021-10-13 15:00:00,True,2021-2022,2.16,0.40563530517333163,0.8761722591743963
CD Ebro,CD Izarra,0,spain copa-federacion,2021-10-13 15:00:00,False,2021-2022,3.32,0.2757952530317854,0.9156402400655276
CD Ebro,CD Izarra,1,spain copa-federacion,2021-10-13 15:00:00,False,2021-2022,3.23,0.31856944179488295,1.0289792969974718
Neftekhimik Nizhnekamsk,Spartak 2 Moscow ( -2022),3,russia fnl,2021-10-13 15:00:00,True,2021-2022,1.56,0.5946318019553519,0.927625611050349
Neftekhimik Nizhnekamsk,Spartak 2 Moscow ( -2022),0,russia fnl,2021-10-13 15:00:00,False,2021-2022,5.46,0.1637109063302517,0.8938615485631743
Neftekhimik Nizhnekamsk,Spartak 2 Moscow ( -2022),1,russia fnl,2021-10-13 15:00:00,False,2021-2022,4.07,0.2416572917143964,0.9835451772775934
Penya Deportiva Santa Eulalia,Lleida,3,spain copa-federacion,2021-10-13 15:00:00,False,2021-2022,1.79,0.5505334036453223,0.985454792525127
Penya Deportiva Santa Eulalia,Lleida,0,spain copa-federacion,2021-10-13 15:00:00,True,2021-2022,4.37,0.19569553969323394,0.8551895084594323
Penya Deportiva Santa Eulalia,Lleida,1,spain copa-federacion,2021-10-13 15:00:00,False,2021-2022,3.51,0.2537710566614437,0.8907364088816673
Akron Togliatti,Alania Vladikavkaz,3,russia fnl,2021-10-13 15:00:00,True,2021-2022,5.17,0.1996139580091318,1.0320041629072114
Akron Togliatti,Alania Vladikavkaz,0,russia fnl,2021-10-13 15:00:00,False,2021-2022,1.55,0.5494009951313215,0.8515715424535483
Akron Togliatti,Alania Vladikavkaz,1,russia fnl,2021-10-13 15:00:00,False,2021-2022,4.2,0.2509850468595468,1.0541371968100968
KamAZ Naberezhnye Chelny,Enisey Krasnoyarsk,3,russia fnl,2021-10-13 15:00:00,False,2021-2022,2.88,0.3208572788575399,0.9240689631097149
KamAZ Naberezhnye Chelny,Enisey Krasnoyarsk,0,russia fnl,2021-10-13 15:00:00,False,2021-2022,2.45,0.37187134617211043,0.9110847981216706
KamAZ Naberezhnye Chelny,Enisey Krasnoyarsk,1,russia fnl,2021-10-13 15:00:00,True,2021-2022,3.16,0.30727137497034956,0.9709775449063046
